company_id;free_float_level;last_trade_date;last_trade_price;market_capitilization;outstanding_shares;percent_weight;securityid;security_name;security_symbol;total_market_capitalization
29;12.00;2020-04-08;5.87;14452798874.92;2462146316.00;0.15;146;2GO GROUP, INC.;2GO;9841681459717.74
55;10.00;2015-05-15;1.61;1287999969.41;799999981.00;0.01;347;ASIA AMALGAMATED HOLDINGS;AAA;9841681459717.74
19;10.00;2020-04-08;10.86;27638700000.00;2545000000.00;0.28;181;ATOK-BIG WEDGE COMPANY, INC. "A";AB;9841681459717.74
108;45.44;2020-04-06;0.81;198475289.82;245031222.00;0.00;322;BENGUET CORPORATION "B";BCB;9841681459717.74
9;12.00;2020-04-08;2.26;9811294732.30;4341280855.00;0.10;391;BERJAYA PHILIPPINES, INC.;BCOR;9841681459717.74
260;44.00;2020-04-08;98.50;431686446030.50;4382603513.00;4.39;468;BDO UNIBANK, INC.;BDO;9841681459717.74
21;46.55;2020-04-08;1.35;13180220500.95;9763126297.00;0.13;252;BELLE CORPORATION;BEL;9841681459717.74
62;10.00;2020-03-12;960.00;479987520.00;499987.00;0.00;358;BHI HOLDINGS, INC.;BH;9841681459717.74
63;59.43;2020-04-08;0.03;336000000.00;12000000000.00;0.00;187;BOULEVARD HOLDINGS, INC.;BHI;9841681459717.74
66;17.00;2020-04-08;0.60;917084400.00;1528474000.00;0.01;116;BRIGHT KINDLE RESOURCES & INVESTMENTS INC.;BKR;9841681459717.74
31;11.00;2020-01-24;3.16;6833421985.92;2162475312.00;0.07;121;BDO LEASING & FINANCE, INC.;BLFI;9841681459717.74
49;35.18;2020-04-08;5.68;62354865919.36;10977969352.00;0.63;233;BLOOMBERRY RESORTS CORPORATION;BLOOM;9841681459717.74
181;43.00;2020-04-08;86.00;516000000.00;6000000.00;0.01;359;BOGO-MEDELLIN MILLING COMPANY;BMM;9841681459717.74
234;48.37;2020-04-08;57.05;257472376564.90;4513100378.00;2.62;101;BANK OF THE PHILIPPINE ISLANDS;BPI;9841681459717.74
13;37.35;2020-04-08;0.55;1362717351.05;2477667911.00;0.01;234;A. BROWN COMPANY, INC.;BRN;9841681459717.74
60;86.00;2020-04-08;0.17;481151546.81;2797392714.00;0.00;188;BASIC ENERGY CORPORATION;BSC;9841681459717.74
669;30.00;2020-04-08;2.61;4755361575.15;1821977615.00;0.05;636;Chelsea Logistics and Infrastracture Holdings Corp.;C;9841681459717.74
213;7.50;;10.00;53886780.00;5388678.00;0.00;362;CONCRETE AGGREGATES CORPORATION "B";CAB;9841681459717.74
183;12.00;2020-04-08;13.20;3729511632.00;282538760.00;0.04;366;CENTRAL AZUCARERA DE TARLAC;CAT;9841681459717.74
39;30.88;2020-04-08;0.74;3258766922.16;4403739084.00;0.03;297;CITYLAND DEVELOPMENT CORPORATION;CDC;9841681459717.74
624;32.03;2020-04-08;48.05;28845217435.00;600316700.00;0.29;560;CEBU AIR, INC.;CEB;9841681459717.74
186;56.71;2020-04-06;0.14;2019599993.25;14959999950.00;0.02;191;CROWN EQUITIES, INC.;CEI;9841681459717.74
223;27.00;2020-04-07;6.59;2454210896.00;372414400.00;0.02;291;CENTRO ESCOLAR UNIVERSITY;CEU;9841681459717.74
110;29.00;2020-04-08;6.04;13026810051.24;2156756631.00;0.13;298;CEBU HOLDINGS, INC.;CHI;9841681459717.74
